id,venda_id,produto_id,quantidade,preco_unitario,subtotal
1,1,16,1,47.5,47.5
2,1,49,1,28.5,28.5
3,1,6,1,19.8,19.8
4,2,39,2,71.9,143.8
5,2,63,1,9.5,9.5
6,3,28,1,21.5,21.5
7,4,58,3,194.9,584.7
8,4,31,1,30.9,30.9
9,4,32,1,34.5,34.5
10,5,58,1,194.9,194.9
11,5,63,1,9.5,9.5
12,5,6,1,19.8,19.8
13,6,14,2,62.9,125.8
14,6,27,2,12.5,25.0
15,6,69,2,419.9,839.8
16,7,33,1,19.9,19.9
17,8,9,2,10.2,20.4
18,8,6,1,19.8,19.8
19,9,21,1,20.9,20.9
20,10,2,2,10.5,21.0
21,10,71,1,53.9,53.9
22,11,66,1,17.9,17.9
23,11,19,1,19.5,19.5
24,12,9,1,10.2,10.2
25,13,63,1,9.5,9.5
26,14,56,1,27.9,27.9
27,14,36,2,7.9,15.8
28,14,47,2,62.9,125.8
29,15,69,1,419.9,419.9
30,16,28,1,21.5,21.5
31,16,5,1,39.9,39.9
32,17,66,1,17.9,17.9
33,17,12,1,32.9,32.9
34,18,19,1,19.5,19.5
35,18,62,1,17.2,17.2
36,18,46,1,41.5,41.5
37,18,6,1,19.8,19.8
38,19,36,1,7.9,7.9
39,19,34,1,15.9,15.9
40,19,70,1,27.9,27.9
41,19,23,2,4.9,9.8
42,19,49,1,28.5,28.5
43,20,22,1,22.5,22.5
44,21,15,1,35.9,35.9
45,22,66,1,17.9,17.9
46,23,37,1,18.9,18.9
47,23,11,3,24.5,73.5
48,23,28,2,21.5,43.0
49,24,59,1,172.5,172.5
50,24,9,1,10.2,10.2
51,24,30,1,17.2,17.2
52,25,69,1,419.9,419.9
53,26,6,1,19.8,19.8
54,26,68,2,41.9,83.8
55,27,62,2,17.2,34.4
56,28,67,1,14.2,14.2
57,28,1,1,8.9,8.9
58,29,51,2,71.9,143.8
59,30,18,2,33.8,67.6
60,30,16,1,47.5,47.5
61,31,1,2,8.9,17.8
62,32,52,2,76.9,153.8
63,32,67,2,14.2,28.4
64,32,37,1,18.9,18.9
65,32,8,1,27.9,27.9
66,33,5,1,39.9,39.9
67,34,9,2,10.2,20.4
68,35,52,1,76.9,76.9
69,35,1,1,8.9,8.9
70,36,57,3,32.5,97.5
71,37,9,1,10.2,10.2
72,38,32,1,34.5,34.5
73,38,37,2,18.9,37.8
74,38,12,1,32.9,32.9
75,39,31,2,30.9,61.8
76,40,1,3,8.9,26.7
77,40,70,2,27.9,55.8
78,41,36,1,7.9,7.9
79,41,51,2,71.9,143.8
80,41,29,1,7.2,7.2
81,41,17,1,29.9,29.9
82,42,49,1,28.5,28.5
83,42,13,2,39.8,79.6
84,42,42,1,189.9,189.9
85,43,52,1,76.9,76.9
86,43,36,1,7.9,7.9
87,44,61,1,209.9,209.9
88,44,2,1,10.5,10.5
89,44,23,2,4.9,9.8
90,45,28,2,21.5,43.0
91,46,45,1,34.9,34.9
92,46,26,1,10.2,10.2
93,47,19,1,19.5,19.5
94,47,22,2,22.5,45.0
95,48,35,1,42.5,42.5
96,49,17,1,29.9,29.9
97,49,31,1,30.9,30.9
98,49,33,1,19.9,19.9
99,49,11,2,24.5,49.0
100,50,40,1,84.5,84.5
101,50,30,1,17.2,17.2
102,50,32,1,34.5,34.5
103,50,37,1,18.9,18.9
104,51,23,1,4.9,4.9
105,51,59,1,172.5,172.5
106,51,56,1,27.9,27.9
107,52,18,1,33.8,33.8
108,52,45,1,34.9,34.9
109,52,37,2,18.9,37.8
110,53,56,2,27.9,55.8
111,53,51,1,71.9,71.9
112,53,32,2,34.5,69.0
113,53,21,1,20.9,20.9
114,54,25,2,27.5,55.0
115,55,69,1,419.9,419.9
116,56,64,1,15.2,15.2
117,56,48,2,35.9,71.8
118,57,49,3,28.5,85.5
119,57,2,2,10.5,21.0
120,57,16,1,47.5,47.5
121,58,40,1,84.5,84.5
122,58,42,1,189.9,189.9
123,58,21,2,20.9,41.8
124,59,22,2,22.5,45.0
125,60,12,1,32.9,32.9
126,60,32,1,34.5,34.5
127,61,30,1,17.2,17.2
128,62,6,1,19.8,19.8
129,63,71,1,53.9,53.9
130,63,21,1,20.9,20.9
131,63,9,2,10.2,20.4
132,64,42,1,189.9,189.9
133,64,9,1,10.2,10.2
134,65,9,2,10.2,20.4
135,65,6,1,19.8,19.8
136,66,33,1,19.9,19.9
137,66,7,2,17.5,35.0
138,66,47,1,62.9,62.9
139,67,54,1,16.2,16.2
140,67,48,2,35.9,71.8
141,67,8,2,27.9,55.8
142,67,35,1,42.5,42.5
143,68,54,2,16.2,32.4
144,68,14,1,62.9,62.9
145,68,46,1,41.5,41.5
146,68,59,2,172.5,345.0
147,69,48,1,35.9,35.9
148,70,51,2,71.9,143.8
149,70,1,3,8.9,26.7
150,71,36,1,7.9,7.9
151,71,71,2,53.9,107.8
152,71,66,1,17.9,17.9
153,72,10,1,49.9,49.9
154,72,42,2,189.9,379.8
155,72,62,2,17.2,34.4
156,72,23,2,4.9,9.8
157,73,16,2,47.5,95.0
158,73,30,2,17.2,34.4
159,74,20,3,17.2,51.6
160,74,7,2,17.5,35.0
161,74,51,1,71.9,71.9
162,75,56,2,27.9,55.8
163,75,17,1,29.9,29.9
164,76,12,1,32.9,32.9
165,77,57,1,32.5,32.5
166,77,19,1,19.5,19.5
167,77,6,2,19.8,39.6
168,77,30,1,17.2,17.2
169,77,26,2,10.2,20.4
170,78,3,1,13.2,13.2
171,78,43,1,169.9,169.9
172,79,68,1,41.9,41.9
173,79,6,1,19.8,19.8
174,80,14,2,62.9,125.8
175,80,3,1,13.2,13.2
176,80,38,1,98.9,98.9
177,81,3,1,13.2,13.2
178,81,6,1,19.8,19.8
179,82,33,2,19.9,39.8
180,83,67,1,14.2,14.2
181,83,30,1,17.2,17.2
182,83,54,3,16.2,48.6
183,84,68,2,41.9,83.8
184,85,24,2,26.9,53.8
185,85,41,2,148.9,297.8
186,85,19,2,19.5,39.0
187,86,24,1,26.9,26.9
188,87,18,2,33.8,67.6
189,87,65,1,12.9,12.9
190,87,61,2,209.9,419.8
191,88,27,1,12.5,12.5
192,88,9,2,10.2,20.4
193,88,23,2,4.9,9.8
194,88,57,1,32.5,32.5
195,88,63,2,9.5,19.0
196,89,67,1,14.2,14.2
197,89,14,2,62.9,125.8
198,89,58,2,194.9,389.8
199,90,39,1,71.9,71.9
200,90,37,1,18.9,18.9
201,91,70,1,27.9,27.9
202,91,18,1,33.8,33.8
203,91,51,1,71.9,71.9
204,91,53,2,19.5,39.0
205,92,58,1,194.9,194.9
206,93,20,1,17.2,17.2
207,94,26,1,10.2,10.2
208,94,1,2,8.9,17.8
209,94,33,1,19.9,19.9
210,94,2,1,10.5,10.5
211,95,27,1,12.5,12.5
212,95,7,1,17.5,17.5
213,96,37,1,18.9,18.9
214,97,49,2,28.5,57.0
215,98,27,1,12.5,12.5
216,99,55,1,8.5,8.5
217,99,41,3,148.9,446.7
218,99,34,1,15.9,15.9
219,100,1,2,8.9,17.8
220,100,16,3,47.5,142.5
221,100,4,1,16.9,16.9
222,100,60,1,149.9,149.9
223,100,27,1,12.5,12.5
224,101,43,1,169.9,169.9
225,102,18,1,33.8,33.8
226,103,41,1,148.9,148.9
227,103,69,1,419.9,419.9
228,103,3,2,13.2,26.4
229,104,50,1,43.9,43.9
230,104,24,2,26.9,53.8
231,105,68,1,41.9,41.9
232,106,44,2,118.9,237.8
233,107,50,2,43.9,87.8
234,108,40,1,84.5,84.5
235,108,3,1,13.2,13.2
236,109,2,3,10.5,31.5
237,110,40,1,84.5,84.5
238,111,58,1,194.9,194.9
239,112,60,1,149.9,149.9
240,112,13,1,39.8,39.8
241,112,59,2,172.5,345.0
242,113,42,1,189.9,189.9
243,113,59,1,172.5,172.5
244,113,63,1,9.5,9.5
245,114,10,2,49.9,99.8
246,115,56,1,27.9,27.9
247,115,44,1,118.9,118.9
248,115,70,1,27.9,27.9
249,116,52,1,76.9,76.9
250,117,1,1,8.9,8.9
251,117,19,1,19.5,19.5
252,117,20,1,17.2,17.2
253,117,58,1,194.9,194.9
254,118,2,1,10.5,10.5
255,119,37,1,18.9,18.9
256,119,4,2,16.9,33.8
257,120,47,1,62.9,62.9
258,120,54,3,16.2,48.6
259,121,54,2,16.2,32.4
260,121,59,1,172.5,172.5
261,122,31,1,30.9,30.9
262,122,65,2,12.9,25.8
263,123,36,1,7.9,7.9
264,123,60,2,149.9,299.8
265,123,67,1,14.2,14.2
266,124,2,1,10.5,10.5
267,125,34,1,15.9,15.9
268,126,10,2,49.9,99.8
269,127,58,1,194.9,194.9
270,127,48,2,35.9,71.8
271,127,23,1,4.9,4.9
272,128,50,1,43.9,43.9
273,128,31,2,30.9,61.8
274,129,61,1,209.9,209.9
275,129,69,1,419.9,419.9
276,130,6,2,19.8,39.6
277,130,13,1,39.8,39.8
278,131,60,2,149.9,299.8
279,131,31,1,30.9,30.9
280,132,14,1,62.9,62.9
281,133,16,2,47.5,95.0
282,133,12,1,32.9,32.9
283,133,17,1,29.9,29.9
284,133,49,1,28.5,28.5
285,133,24,2,26.9,53.8
286,134,8,1,27.9,27.9
287,135,19,2,19.5,39.0
288,135,70,1,27.9,27.9
289,136,1,1,8.9,8.9
290,136,5,1,39.9,39.9
291,137,9,1,10.2,10.2
292,137,70,3,27.9,83.7
293,137,29,2,7.2,14.4
294,138,44,2,118.9,237.8
295,138,11,2,24.5,49.0
296,139,46,1,41.5,41.5
297,139,63,1,9.5,9.5
298,140,69,3,419.9,1259.7
299,141,67,1,14.2,14.2
300,141,59,1,172.5,172.5
301,141,69,2,419.9,839.8
302,142,40,1,84.5,84.5
303,142,13,1,39.8,39.8
304,143,52,1,76.9,76.9
305,143,42,3,189.9,569.7
306,143,16,1,47.5,47.5
307,143,70,1,27.9,27.9
308,143,18,1,33.8,33.8
309,144,49,2,28.5,57.0
310,144,21,1,20.9,20.9
311,144,3,1,13.2,13.2
312,145,35,1,42.5,42.5
313,146,54,1,16.2,16.2
314,147,27,1,12.5,12.5
315,147,36,1,7.9,7.9
316,148,33,1,19.9,19.9
317,149,57,2,32.5,65.0
318,149,42,2,189.9,379.8
319,149,54,1,16.2,16.2
320,149,26,1,10.2,10.2
321,150,59,1,172.5,172.5
322,151,15,2,35.9,71.8
323,152,71,2,53.9,107.8
324,152,30,1,17.2,17.2
325,152,12,3,32.9,98.7
326,152,53,1,19.5,19.5
327,153,20,1,17.2,17.2
328,153,1,1,8.9,8.9
329,154,2,1,10.5,10.5
330,155,4,2,16.9,33.8
331,155,59,1,172.5,172.5
332,155,60,2,149.9,299.8
333,155,18,1,33.8,33.8
334,156,70,1,27.9,27.9
335,156,27,1,12.5,12.5
336,156,11,2,24.5,49.0
337,157,9,1,10.2,10.2
338,157,27,1,12.5,12.5
339,158,55,1,8.5,8.5
340,158,36,1,7.9,7.9
341,159,9,1,10.2,10.2
342,159,25,1,27.5,27.5
343,159,59,1,172.5,172.5
344,160,70,1,27.9,27.9
345,160,17,1,29.9,29.9
346,161,42,1,189.9,189.9
347,162,37,1,18.9,18.9
348,162,7,1,17.5,17.5
349,163,21,1,20.9,20.9
350,163,31,1,30.9,30.9
351,163,15,1,35.9,35.9
352,164,39,1,71.9,71.9
353,165,38,3,98.9,296.7
354,166,6,1,19.8,19.8
355,166,18,1,33.8,33.8
356,167,26,1,10.2,10.2
357,167,3,1,13.2,13.2
358,167,11,1,24.5,24.5
359,168,50,1,43.9,43.9
360,168,48,1,35.9,35.9
361,169,55,2,8.5,17.0
362,169,54,1,16.2,16.2
363,169,18,1,33.8,33.8
364,170,23,1,4.9,4.9
365,171,39,1,71.9,71.9
366,171,64,2,15.2,30.4
367,171,60,1,149.9,149.9
368,172,4,2,16.9,33.8
369,172,16,1,47.5,47.5
370,173,48,2,35.9,71.8
371,173,66,1,17.9,17.9
372,173,3,1,13.2,13.2
373,174,10,1,49.9,49.9
374,174,66,1,17.9,17.9
375,175,47,1,62.9,62.9
376,175,13,2,39.8,79.6
377,175,69,1,419.9,419.9
378,176,68,2,41.9,83.8
379,176,69,2,419.9,839.8
380,176,71,1,53.9,53.9
381,177,67,2,14.2,28.4
382,177,44,1,118.9,118.9
383,177,23,1,4.9,4.9
384,177,39,1,71.9,71.9
385,177,4,1,16.9,16.9
386,178,26,1,10.2,10.2
387,178,14,1,62.9,62.9
