id,filial_id,cliente_id,data_venda,valor_total,desconto,forma_pagamento,status
1,10,115,2026-06-14 09:11:00,95.8,0.0,CONVENIO,CONCLUIDA
2,4,40,2025-12-12 17:03:00,153.3,18.51,PIX,CONCLUIDA
3,14,130,2026-04-04 16:25:00,21.5,0.0,DINHEIRO,CONCLUIDA
4,14,122,2026-04-23 20:41:00,650.1,0.0,DINHEIRO,CONCLUIDA
5,5,73,2026-03-21 21:49:00,224.2,13.36,CARTAO_CREDITO,CONCLUIDA
6,10,161,2026-06-08 18:49:00,990.6,0.0,CARTAO_CREDITO,CONCLUIDA
7,1,7,2025-12-16 08:05:00,19.9,0.0,DINHEIRO,CONCLUIDA
8,3,162,2025-12-08 08:24:00,40.2,0.0,CARTAO_DEBITO,CONCLUIDA
9,10,23,2026-02-09 14:25:00,20.9,0.0,PIX,CONCLUIDA
10,10,163,2026-06-11 20:55:00,74.9,8.03,PIX,CONCLUIDA
11,9,54,2026-01-13 13:13:00,37.4,0.0,CARTAO_CREDITO,CONCLUIDA
12,2,14,2025-07-16 15:41:00,10.2,0.0,CARTAO_DEBITO,CONCLUIDA
13,14,172,2024-04-12 12:39:00,9.5,0.0,DINHEIRO,CONCLUIDA
14,9,94,2025-03-14 10:00:00,169.5,0.0,CARTAO_CREDITO,CONCLUIDA
15,3,45,2024-03-24 21:17:00,419.9,0.0,PIX,CONCLUIDA
16,10,,2025-10-08 08:52:00,61.4,0.0,CARTAO_DEBITO,CONCLUIDA
17,10,58,2025-08-26 19:54:00,50.8,0.0,CARTAO_CREDITO,CONCLUIDA
18,10,43,2024-05-23 15:10:00,98.0,6.93,CARTAO_CREDITO,CONCLUIDA
19,4,117,2024-02-10 18:20:00,90.0,0.0,DINHEIRO,CONCLUIDA
20,8,89,2026-03-03 17:00:00,22.5,0.0,CARTAO_DEBITO,CONCLUIDA
21,2,155,2024-05-01 18:14:00,35.9,0.0,CARTAO_CREDITO,CONCLUIDA
22,2,,2025-07-22 10:36:00,17.9,0.0,CARTAO_DEBITO,CONCLUIDA
23,3,104,2026-04-14 18:01:00,135.4,0.0,PIX,CONCLUIDA
24,9,197,2026-06-02 16:16:00,199.9,0.0,CARTAO_CREDITO,CONCLUIDA
25,9,,2024-06-30 15:57:00,419.9,0.0,CARTAO_DEBITO,CONCLUIDA
26,2,1,2026-03-04 18:41:00,103.6,0.0,CARTAO_CREDITO,CONCLUIDA
27,4,,2026-05-07 19:36:00,34.4,0.0,DINHEIRO,CONCLUIDA
28,9,66,2026-06-28 19:50:00,23.1,0.0,DINHEIRO,CONCLUIDA
29,1,150,2026-03-31 14:36:00,143.8,0.0,CARTAO_CREDITO,CONCLUIDA
30,7,143,2025-12-04 17:22:00,115.1,0.0,PIX,CONCLUIDA
31,2,87,2025-09-20 19:43:00,17.8,0.0,PIX,CONCLUIDA
32,9,68,2025-08-09 17:02:00,229.0,0.0,PIX,CONCLUIDA
33,10,9,2025-06-06 16:44:00,39.9,0.0,CARTAO_CREDITO,CONCLUIDA
34,1,103,2026-01-18 14:37:00,20.4,0.0,CARTAO_CREDITO,CONCLUIDA
35,9,89,2024-10-10 11:38:00,85.8,0.0,CONVENIO,CONCLUIDA
36,3,,2024-09-20 16:52:00,97.5,0.0,PIX,CONCLUIDA
37,10,,2026-02-20 17:55:00,10.2,0.0,DINHEIRO,CONCLUIDA
38,10,,2025-12-27 16:34:00,105.2,0.0,DINHEIRO,CONCLUIDA
39,4,147,2026-06-14 11:31:00,61.8,0.0,PIX,CONCLUIDA
40,3,40,2024-05-02 09:43:00,82.5,0.0,CONVENIO,CONCLUIDA
41,13,,2025-11-17 15:11:00,188.8,0.0,CONVENIO,CONCLUIDA
42,9,31,2025-04-16 13:44:00,298.0,0.0,DINHEIRO,CONCLUIDA
43,14,48,2025-10-15 14:44:00,84.8,0.0,PIX,CONCLUIDA
44,11,61,2026-01-11 11:09:00,230.2,0.0,PIX,CONCLUIDA
45,4,65,2026-04-16 08:25:00,43.0,0.0,DINHEIRO,CONCLUIDA
46,6,93,2026-04-11 20:16:00,45.1,0.0,CARTAO_CREDITO,CONCLUIDA
47,3,131,2026-02-13 09:24:00,64.5,0.0,CARTAO_DEBITO,CONCLUIDA
48,5,,2025-12-22 11:20:00,42.5,0.0,CARTAO_CREDITO,CONCLUIDA
