id,produto_id,filial_id,quantidade
1,1,1,21
2,1,2,77
3,1,3,41
4,1,4,37
5,1,5,23
6,1,6,3
7,1,7,21
8,1,8,122
9,1,9,86
10,1,10,16
11,1,11,55
12,1,12,102
13,1,13,70
14,1,14,101
15,1,15,6
16,2,1,5
17,2,2,26
18,2,3,46
19,2,4,111
20,2,5,4
21,2,6,107
22,2,7,32
23,2,8,3
24,2,9,35
25,2,10,40
26,2,11,131
27,2,12,108
28,2,13,105
29,2,14,83
30,2,15,33
31,3,1,58
32,3,2,77
33,3,3,112
34,3,4,71
35,3,5,29
36,3,6,23
37,3,7,117
38,3,8,69
39,3,9,95
40,3,10,142
41,3,11,132
42,3,12,2
43,3,13,82
44,3,14,124
45,3,15,117
46,4,1,50
47,4,2,38
48,4,3,43
49,4,4,55
50,4,5,123
51,4,6,113
52,4,7,134
53,4,8,17
54,4,9,44
55,4,10,83
56,4,11,102
57,4,12,6
58,4,13,15
59,4,14,82
60,4,15,60
61,5,1,42
62,5,2,91
63,5,3,144
64,5,4,54
65,5,5,56
66,5,6,150
67,5,7,97
68,5,8,43
69,5,9,93
70,5,10,76
71,5,11,35
72,5,12,7
73,5,13,47
74,5,14,7
75,5,15,57
76,6,1,123
77,6,2,66
78,6,3,117
79,6,4,110
80,6,5,147
81,6,6,78
82,6,7,101
83,6,8,8
84,6,9,71
85,6,10,0
86,6,11,23
87,6,12,33
88,6,13,86
89,6,14,69
90,6,15,136
91,7,1,136
92,7,2,63
93,7,3,6
94,7,4,120
95,7,5,28
96,7,6,40
97,7,7,5
98,7,8,42
99,7,9,63
100,7,10,50
101,7,11,86
102,7,12,34
103,7,13,40
104,7,14,8
105,7,15,38
106,8,1,75
107,8,2,139
108,8,3,117
109,8,4,57
110,8,5,114
111,8,6,131
112,8,7,139
113,8,8,90
114,8,9,29
115,8,10,30
116,8,11,29
117,8,12,7
118,8,13,150
119,8,14,145
120,8,15,2
121,9,1,1
122,9,2,75
123,9,3,78
124,9,4,25
125,9,5,122
126,9,6,148
127,9,7,81
128,9,8,95
129,9,9,116
130,9,10,4
131,9,11,33
132,9,12,1
133,9,13,3
134,9,14,48
135,9,15,32
136,10,1,109
137,10,2,127
138,10,3,92
139,10,4,150
140,10,5,8
141,10,6,41
142,10,7,49
143,10,8,42
144,10,9,54
145,10,10,68
146,10,11,67
147,10,12,82
148,10,13,79
149,10,14,28
150,10,15,6
151,11,1,26
152,11,2,2
153,11,3,82
154,11,4,128
155,11,5,124
156,11,6,43
157,11,7,2
158,11,8,109
159,11,9,52
160,11,10,25
161,11,11,25
162,11,12,68
163,11,13,41
164,11,14,119
165,11,15,54
166,12,1,75
167,12,2,60
168,12,3,21
169,12,4,100
170,12,5,120
171,12,6,78
172,12,7,42
173,12,8,24
174,12,9,71
175,12,10,132
176,12,11,73
177,12,12,64
178,12,13,86
179,12,14,86
180,12,15,145
181,13,1,99
182,13,2,44
183,13,3,81
184,13,4,82
185,13,5,6
186,13,6,95
187,13,7,145
188,13,8,3
189,13,9,126
190,13,10,8
191,13,11,65
192,13,12,32
193,13,13,99
194,13,14,46
195,13,15,91
196,14,1,119
197,14,2,90
198,14,3,64
199,14,4,112
200,14,5,59
201,14,6,92
202,14,7,15
203,14,8,68
204,14,9,97
205,14,10,128
206,14,11,145
207,14,12,58
208,14,13,87
209,14,14,100
210,14,15,3
211,15,1,72
212,15,2,52
213,15,3,3
214,15,4,33
215,15,5,64
216,15,6,113
217,15,7,77
218,15,8,0
219,15,9,42
220,15,10,71
221,15,11,147
222,15,12,78
223,15,13,46
224,15,14,133
225,15,15,96
226,16,1,128
227,16,2,144
228,16,3,129
229,16,4,136
230,16,5,78
231,16,6,85
232,16,7,148
233,16,8,76
234,16,9,34
235,16,10,75
236,16,11,96
237,16,12,35
238,16,13,3
239,16,14,54
240,16,15,31
241,17,1,99
242,17,2,121
243,17,3,6
244,17,4,20
245,17,5,112
246,17,6,105
247,17,7,114
248,17,8,122
249,17,9,71
250,17,10,84
251,17,11,22
252,17,12,118
253,17,13,134
254,17,14,21
255,17,15,21
256,18,1,6
257,18,2,7
258,18,3,81
259,18,4,69
260,18,5,101
261,18,6,112
262,18,7,122
263,18,8,35
264,18,9,28
265,18,10,104
266,18,11,32
267,18,12,25
268,18,13,78
269,18,14,20
270,18,15,76
271,19,1,1
272,19,2,70
273,19,3,80
274,19,4,57
275,19,5,44
276,19,6,56
277,19,7,42
278,19,8,94
279,19,9,111
280,19,10,65
281,19,11,3
282,19,12,4
283,19,13,45
284,19,14,25
285,19,15,124
286,20,1,32
287,20,2,102
288,20,3,6
289,20,4,42
290,20,5,107
291,20,6,132
292,20,7,126
293,20,8,148
294,20,9,84
295,20,10,138
296,20,11,83
297,20,12,77
298,20,13,37
299,20,14,130
300,20,15,133
301,21,1,112
302,21,2,141
303,21,3,61
304,21,4,105
305,21,5,102
306,21,6,85
307,21,7,147
308,21,8,36
309,21,9,119
310,21,10,76
311,21,11,140
312,21,12,19
313,21,13,3
314,21,14,77
315,21,15,109
316,22,1,150
317,22,2,99
318,22,3,131
319,22,4,79
320,22,5,64
321,22,6,62
322,22,7,138
323,22,8,149
324,22,9,40
325,22,10,90
326,22,11,60
327,22,12,47
328,22,13,28
329,22,14,47
330,22,15,140
331,23,1,0
332,23,2,135
333,23,3,102
334,23,4,28
335,23,5,137
336,23,6,1
337,23,7,33
338,23,8,28
339,23,9,92
340,23,10,3
341,23,11,6
342,23,12,72
343,23,13,112
344,23,14,128
345,23,15,124
346,24,1,30
347,24,2,40
348,24,3,68
349,24,4,82
350,24,5,55
351,24,6,34
352,24,7,119
353,24,8,135
354,24,9,74
355,24,10,87
356,24,11,131
357,24,12,3
358,24,13,65
359,24,14,72
360,24,15,83
361,25,1,33
362,25,2,4
363,25,3,88
364,25,4,134
365,25,5,118
366,25,6,143
367,25,7,127
368,25,8,0
369,25,9,97
370,25,10,21
371,25,11,0
372,25,12,83
373,25,13,59
374,25,14,128
375,25,15,61
376,26,1,126
377,26,2,140
378,26,3,135
379,26,4,100
380,26,5,41
381,26,6,99
382,26,7,141
383,26,8,117
384,26,9,24
385,26,10,95
386,26,11,44
387,26,12,118
388,26,13,15
389,26,14,133
390,26,15,63
391,27,1,142
392,27,2,28
393,27,3,48
394,27,4,127
395,27,5,139
396,27,6,3
397,27,7,94
398,27,8,119
399,27,9,1
400,27,10,45
401,27,11,54
402,27,12,89
403,27,13,84
404,27,14,138
405,27,15,77
406,28,1,52
407,28,2,145
408,28,3,49
409,28,4,85
410,28,5,121
411,28,6,144
412,28,7,15
413,28,8,91
414,28,9,140
415,28,10,129
416,28,11,103
417,28,12,111
418,28,13,97
419,28,14,76
420,28,15,74
421,29,1,120
422,29,2,7
423,29,3,112
424,29,4,53
425,29,5,24
426,29,6,5
427,29,7,127
428,29,8,7
429,29,9,2
430,29,10,54
431,29,11,4
432,29,12,116
433,29,13,99
434,29,14,112
435,29,15,139
436,30,1,24
437,30,2,75
438,30,3,88
439,30,4,38
440,30,5,40
441,30,6,40
442,30,7,91
443,30,8,26
444,30,9,29
445,30,10,110
446,30,11,77
447,30,12,61
448,30,13,35
449,30,14,112
450,30,15,76
451,31,1,51
452,31,2,80
453,31,3,17
454,31,4,134
455,31,5,55
456,31,6,5
457,31,7,91
458,31,8,123
459,31,9,131
460,31,10,65
461,31,11,138
462,31,12,6
463,31,13,90
464,31,14,90
465,31,15,6
466,32,1,27
467,32,2,142
468,32,3,88
469,32,4,73
470,32,5,105
471,32,6,63
472,32,7,50
473,32,8,25
474,32,9,127
475,32,10,5
476,32,11,38
477,32,12,98
478,32,13,59
479,32,14,108
480,32,15,84
481,33,1,80
482,33,2,138
483,33,3,90
484,33,4,101
485,33,5,134
486,33,6,51
487,33,7,72
488,33,8,116
489,33,9,108
490,33,10,6
491,33,11,8
492,33,12,5
493,33,13,82
494,33,14,110
495,33,15,3
496,34,1,98
497,34,2,71
498,34,3,133
499,34,4,92
500,34,5,44
501,34,6,0
502,34,7,141
503,34,8,3
504,34,9,49
505,34,10,109
506,34,11,122
507,34,12,54
508,34,13,40
509,34,14,119
510,34,15,86
511,35,1,5
512,35,2,128
513,35,3,107
514,35,4,5
515,35,5,106
516,35,6,4
517,35,7,46
518,35,8,131
519,35,9,3
520,35,10,20
521,35,11,5
522,35,12,47
523,35,13,67
524,35,14,8
525,35,15,70
526,36,1,74
527,36,2,52
528,36,3,15
529,36,4,52
530,36,5,79
531,36,6,43
532,36,7,21
533,36,8,5
534,36,9,75
535,36,10,19
536,36,11,28
537,36,12,6
538,36,13,31
539,36,14,107
540,36,15,42
541,37,1,71
542,37,2,26
543,37,3,148
544,37,4,22
545,37,5,7
546,37,6,124
547,37,7,140
548,37,8,128
549,37,9,1
550,37,10,52
551,37,11,4
552,37,12,98
553,37,13,150
554,37,14,144
555,37,15,40
556,38,1,44
557,38,2,70
558,38,3,73
559,38,4,131
560,38,5,39
561,38,6,95
562,38,7,110
563,38,8,136
564,38,9,1
565,38,10,1
566,38,11,110
567,38,12,30
568,38,13,99
569,38,14,120
570,38,15,123
571,39,1,28
572,39,2,94
573,39,3,144
574,39,4,138
575,39,5,42
576,39,6,109
577,39,7,4
578,39,8,124
579,39,9,21
580,39,10,83
581,39,11,4
582,39,12,94
583,39,13,104
584,39,14,2
585,39,15,117
586,40,1,0
587,40,2,8
588,40,3,122
589,40,4,55
590,40,5,98
591,40,6,36
592,40,7,54
593,40,8,27
594,40,9,84
595,40,10,123
596,40,11,128
597,40,12,70
598,40,13,44
599,40,14,43
600,40,15,139
601,41,1,93
602,41,2,6
603,41,3,29
604,41,4,4
605,41,5,50
606,41,6,89
607,41,7,16
608,41,8,125
609,41,9,112
610,41,10,73
611,41,11,105
612,41,12,0
613,41,13,132
614,41,14,95
615,41,15,118
616,42,1,121
617,42,2,118
618,42,3,5
619,42,4,132
620,42,5,107
621,42,6,1
622,42,7,117
623,42,8,116
624,42,9,101
625,42,10,58
626,42,11,1
627,42,12,64
628,42,13,104
629,42,14,52
630,42,15,52
631,43,1,59
632,43,2,34
633,43,3,141
634,43,4,129
635,43,5,97
636,43,6,95
637,43,7,32
638,43,8,92
639,43,9,29
640,43,10,33
641,43,11,130
642,43,12,5
643,43,13,34
644,43,14,38
645,43,15,144
646,44,1,25
647,44,2,63
648,44,3,136
649,44,4,30
650,44,5,102
651,44,6,36
652,44,7,59
653,44,8,7
654,44,9,149
655,44,10,55
656,44,11,87
657,44,12,101
658,44,13,28
659,44,14,100
660,44,15,1
661,45,1,113
662,45,2,53
663,45,3,51
664,45,4,94
665,45,5,115
666,45,6,1
667,45,7,111
668,45,8,99
669,45,9,149
670,45,10,6
671,45,11,19
672,45,12,61
673,45,13,102
674,45,14,139
675,45,15,50
676,46,1,90
677,46,2,40
678,46,3,149
679,46,4,5
680,46,5,48
681,46,6,54
682,46,7,57
683,46,8,26
684,46,9,75
685,46,10,87
686,46,11,129
687,46,12,76
688,46,13,135
689,46,14,64
690,46,15,127
691,47,1,87
692,47,2,143
693,47,3,56
694,47,4,50
695,47,5,28
696,47,6,110
697,47,7,41
698,47,8,147
699,47,9,87
700,47,10,2
701,47,11,146
702,47,12,6
703,47,13,3
704,47,14,104
705,47,15,121
706,48,1,8
707,48,2,113
708,48,3,110
709,48,4,96
710,48,5,100
711,48,6,50
712,48,7,7
713,48,8,50
714,48,9,135
715,48,10,16
716,48,11,19
717,48,12,53
718,48,13,150
719,48,14,88
720,48,15,46
721,49,1,6
722,49,2,132
723,49,3,7
724,49,4,19
725,49,5,76
726,49,6,89
727,49,7,105
728,49,8,121
729,49,9,36
730,49,10,107
731,49,11,8
732,49,12,144
733,49,13,114
734,49,14,26
735,49,15,110
736,50,1,19
737,50,2,32
738,50,3,41
739,50,4,100
740,50,5,5
741,50,6,59
742,50,7,133
743,50,8,137
744,50,9,49
745,50,10,7
746,50,11,3
747,50,12,3
748,50,13,95
749,50,14,146
750,50,15,136
751,51,1,63
752,51,2,27
753,51,3,99
754,51,4,109
755,51,5,117
756,51,6,113
757,51,7,62
758,51,8,142
759,51,9,147
760,51,10,36
761,51,11,35
762,51,12,61
763,51,13,97
764,51,14,5
765,51,15,93
766,52,1,124
767,52,2,128
768,52,3,25
769,52,4,105
770,52,5,126
771,52,6,29
772,52,7,6
773,52,8,55
774,52,9,51
775,52,10,127
776,52,11,1
777,52,12,108
778,52,13,23
779,52,14,130
780,52,15,110
781,53,1,34
782,53,2,150
783,53,3,95
784,53,4,78
785,53,5,21
786,53,6,142
787,53,7,45
788,53,8,81
789,53,9,69
790,53,10,88
791,53,11,140
792,53,12,49
793,53,13,130
794,53,14,128
795,53,15,96
796,54,1,31
797,54,2,89
798,54,3,55
799,54,4,59
800,54,5,145
801,54,6,66
802,54,7,75
803,54,8,21
804,54,9,109
805,54,10,48
806,54,11,37
807,54,12,6
808,54,13,137
809,54,14,119
