2026-07-11 17:48:06 | INFO     | pipeline        | ======================================================================
2026-07-11 17:48:06 | INFO     | pipeline        | INICIANDO PIPELINE ETL — 2026-07-11 17:48:06
2026-07-11 17:48:06 | INFO     | pipeline        | ======================================================================
2026-07-11 17:48:06 | INFO     | pipeline.load   | Banco inicializado: /home/claude/modulo-04-etl-pharma-system/db/pharma_dw.db
2026-07-11 17:48:06 | INFO     | pipeline        | >> ETAPA: Extract
2026-07-11 17:48:06 | INFO     | pipeline.extract | Encontrados 10 arquivos em /home/claude/modulo-04-etl-pharma-system/dados_brutos (padrao: vendas_filial_*.csv)
2026-07-11 17:48:06 | INFO     | pipeline.extract | [vendas_filial_01_2026-06-15.csv] Lido: 30 linhas, 10 colunas, encoding=utf-8-sig
2026-07-11 17:48:06 | INFO     | pipeline.extract | [vendas_filial_01_2026-06-16.csv] Lido: 20 linhas, 10 colunas, encoding=utf-8-sig
2026-07-11 17:48:06 | INFO     | pipeline.extract | [vendas_filial_02_2026-06-15.csv] Lido: 30 linhas, 10 colunas, encoding=utf-8-sig
2026-07-11 17:48:06 | WARNING  | pipeline.extract | Arquivo vendas_filial_02_2026-06-16.csv lido com encoding fallback: latin-1
2026-07-11 17:48:06 | INFO     | pipeline.extract | [vendas_filial_02_2026-06-16.csv] Lido: 20 linhas, 10 colunas, encoding=latin-1
2026-07-11 17:48:06 | INFO     | pipeline.extract | [vendas_filial_03_2026-06-15.csv] Lido: 25 linhas, 10 colunas, encoding=utf-8-sig
2026-07-11 17:48:06 | INFO     | pipeline.extract | [vendas_filial_03_2026-06-16.csv] Lido: 18 linhas, 10 colunas, encoding=utf-8-sig
2026-07-11 17:48:06 | INFO     | pipeline.extract | [vendas_filial_04_2026-06-15.csv] Lido: 20 linhas, 10 colunas, encoding=utf-8-sig
2026-07-11 17:48:06 | INFO     | pipeline.extract | [vendas_filial_04_2026-06-16.csv] Lido: 15 linhas, 9 colunas, encoding=utf-8-sig
2026-07-11 17:48:06 | ERROR    | pipeline.extract | [vendas_filial_04_2026-06-16.csv] Schema invalido: colunas obrigatorias faltando: quantidade. Presentes: ['filial_codigo', 'data_venda', 'cliente_cpf', 'produto_codigo', 'produto_nome', 'preco_unitario', 'desconto', 'forma_pagamento', 'vendedor']
2026-07-11 17:48:06 | INFO     | pipeline.extract | [vendas_filial_05_2026-06-15.csv] Lido: 20 linhas, 10 colunas, encoding=utf-8-sig
2026-07-11 17:48:06 | WARNING  | pipeline.extract | [vendas_filial_05_2026-06-16.csv] CSV sem dados
2026-07-11 17:48:06 | INFO     | pipeline.extract | Extract concluido: 8 sucesso, 2 rejeitados
