data,ano,trimestre,mes_num,mes_nome,ano_mes,dia,dia_semana_num,dia_semana_nome,eh_final_de_semana
2024-01-01,2024,1,1,Janeiro,2024-01,1,1,Segunda,Nao
2024-01-02,2024,1,1,Janeiro,2024-01,2,2,Terca,Nao
2024-01-03,2024,1,1,Janeiro,2024-01,3,3,Quarta,Nao
2024-01-04,2024,1,1,Janeiro,2024-01,4,4,Quinta,Nao
2024-01-05,2024,1,1,Janeiro,2024-01,5,5,Sexta,Nao
2024-01-06,2024,1,1,Janeiro,2024-01,6,6,Sabado,Sim
2024-01-07,2024,1,1,Janeiro,2024-01,7,7,Domingo,Sim
2024-01-08,2024,1,1,Janeiro,2024-01,8,1,Segunda,Nao
2024-01-09,2024,1,1,Janeiro,2024-01,9,2,Terca,Nao
2024-01-10,2024,1,1,Janeiro,2024-01,10,3,Quarta,Nao
2024-01-11,2024,1,1,Janeiro,2024-01,11,4,Quinta,Nao
2024-01-12,2024,1,1,Janeiro,2024-01,12,5,Sexta,Nao
2024-01-13,2024,1,1,Janeiro,2024-01,13,6,Sabado,Sim
2024-01-14,2024,1,1,Janeiro,2024-01,14,7,Domingo,Sim
2024-01-15,2024,1,1,Janeiro,2024-01,15,1,Segunda,Nao
2024-01-16,2024,1,1,Janeiro,2024-01,16,2,Terca,Nao
2024-01-17,2024,1,1,Janeiro,2024-01,17,3,Quarta,Nao
2024-01-18,2024,1,1,Janeiro,2024-01,18,4,Quinta,Nao
2024-01-19,2024,1,1,Janeiro,2024-01,19,5,Sexta,Nao
2024-01-20,2024,1,1,Janeiro,2024-01,20,6,Sabado,Sim
2024-01-21,2024,1,1,Janeiro,2024-01,21,7,Domingo,Sim
2024-01-22,2024,1,1,Janeiro,2024-01,22,1,Segunda,Nao
2024-01-23,2024,1,1,Janeiro,2024-01,23,2,Terca,Nao
2024-01-24,2024,1,1,Janeiro,2024-01,24,3,Quarta,Nao
2024-01-25,2024,1,1,Janeiro,2024-01,25,4,Quinta,Nao
2024-01-26,2024,1,1,Janeiro,2024-01,26,5,Sexta,Nao
2024-01-27,2024,1,1,Janeiro,2024-01,27,6,Sabado,Sim
2024-01-28,2024,1,1,Janeiro,2024-01,28,7,Domingo,Sim
2024-01-29,2024,1,1,Janeiro,2024-01,29,1,Segunda,Nao
2024-01-30,2024,1,1,Janeiro,2024-01,30,2,Terca,Nao
2024-01-31,2024,1,1,Janeiro,2024-01,31,3,Quarta,Nao
2024-02-01,2024,1,2,Fevereiro,2024-02,1,4,Quinta,Nao
2024-02-02,2024,1,2,Fevereiro,2024-02,2,5,Sexta,Nao
2024-02-03,2024,1,2,Fevereiro,2024-02,3,6,Sabado,Sim
2024-02-04,2024,1,2,Fevereiro,2024-02,4,7,Domingo,Sim
2024-02-05,2024,1,2,Fevereiro,2024-02,5,1,Segunda,Nao
2024-02-06,2024,1,2,Fevereiro,2024-02,6,2,Terca,Nao
2024-02-07,2024,1,2,Fevereiro,2024-02,7,3,Quarta,Nao
2024-02-08,2024,1,2,Fevereiro,2024-02,8,4,Quinta,Nao
2024-02-09,2024,1,2,Fevereiro,2024-02,9,5,Sexta,Nao
2024-02-10,2024,1,2,Fevereiro,2024-02,10,6,Sabado,Sim
2024-02-11,2024,1,2,Fevereiro,2024-02,11,7,Domingo,Sim
2024-02-12,2024,1,2,Fevereiro,2024-02,12,1,Segunda,Nao
2024-02-13,2024,1,2,Fevereiro,2024-02,13,2,Terca,Nao
2024-02-14,2024,1,2,Fevereiro,2024-02,14,3,Quarta,Nao
2024-02-15,2024,1,2,Fevereiro,2024-02,15,4,Quinta,Nao
2024-02-16,2024,1,2,Fevereiro,2024-02,16,5,Sexta,Nao
2024-02-17,2024,1,2,Fevereiro,2024-02,17,6,Sabado,Sim
